承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
620570713,希ヨードチンキ「ニッコー」,ｷﾖｰﾄﾞﾁﾝｷﾆｯｺｰ,ｷﾖｰﾄﾞﾁﾝｷﾆｯｺｰ,,,False
620570744,希ヨードチンキ（小堺）,ｷﾖｰﾄﾞﾁﾝｷｺｻﾞｶｲ,ｷﾖｰﾄﾞﾁﾝｷｺｻﾞｶｲ,,,False
620571401,ポビドンヨードゲル１０％「イワキ」,ポビドンヨードゲル１０％,ポビドンヨードゲル１０％,,,False
620571601,ポビドンヨード外用液１０％「明治」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620571801,ポビドンヨード外用液１０％「イワキ」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620572101,ポビドンヨード消毒用液１０％「ＮＰ」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620572202,ポビドンヨード消毒液１０％「シオエ」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620572501,ポピラール消毒液１０％,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620572601,ポビドンヨード消毒液１０％「カネイチ」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620572701,ポビドンヨード外用液１０％「東海」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620573001,ポビドンヨード消毒液１０％「ケンエー」,ポビドンヨード外用液１０％（エタノール非含有）,ポビドンヨード外用液１０％,,,False
620573713,ヨードチンキ「ニッコー」,ﾖｰﾄﾞﾁﾝｷﾆｯｺｰ,ﾖｰﾄﾞﾁﾝｷﾆｯｺｰ,,,False
620573737,ヨードチンキ（小堺）,ﾖｰﾄﾞﾁﾝｷｺｻﾞｶｲ,ﾖｰﾄﾞﾁﾝｷｺｻﾞｶｲ,,,False
620574614,オキシドール「ニッコー」,ｵｷｼﾄﾞｰﾙﾆｯｺｰ,ｵｷｼﾄﾞｰﾙﾆｯｺｰ,,,False
620574625,オキシドール「東海」,ｵｷｼﾄﾞｰﾙﾄｳｶｲ,ｵｷｼﾄﾞｰﾙﾄｳｶｲ,,,False
620574803,イソプロパノール（山善）,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾔﾏｾﾞﾝ,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾔﾏｾﾞﾝ,,,False
620574806,イソプロパノール「マルイシ」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾏﾙｲｼ,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾏﾙｲｼ,,,False
620574812,イソプロパノール「ニッコー」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾆｯｺｰ,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾆｯｺｰ,,,False
620574821,イソプロパノール「東海」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾄｳｶｲ,ｲｿﾌﾟﾛﾊﾟﾉｰﾙﾄｳｶｲ,,,False
620574839,イソプロパノール「コザカイ・Ｍ」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｺｻﾞｶｲM,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｺｻﾞｶｲM,,,False
620574901,イソプロパノール消毒液５０％「シオエ」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,,,False
620575101,イソプロパノール消毒液５０％「イマヅ」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,,,False
620575301,イソプロパノール消毒液５０％「ケンエー」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,,,False
620576402,イソプロパノール消毒液５０％「東豊」,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,,,False
620577101,イソプロパノール消毒液５０％〈ハチ〉,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,ｲｿﾌﾟﾛﾊﾟﾉｰﾙｼｮｳﾄﾞｸｴｷ50,,,False
